,FamilyType
2803,Female Head
2804,Female Head
17973,Female Head
2808,Female Head
2809,Female Head
6524,Female Head
11088,Female Head
11089,Female Head
6525,Female Head
11121,Female Head
11120,Female Head
11119,Female Head
11118,Female Head
11117,Female Head
11116,Female Head
11115,Female Head
11114,Female Head
11113,Female Head
11112,Female Head
11111,Female Head
11110,Female Head
2740,Female Head
6493,Female Head
11109,Female Head
6534,Female Head
6533,Female Head
11101,Female Head
6532,Female Head
6531,Female Head
6530,Female Head
6529,Female Head
6528,Female Head
11095,Female Head
11094,Female Head
11093,Female Head
6527,Female Head
6526,Female Head
14701,Female Head
14754,Female Head
6492,Female Head
17976,Female Head
8685,Female Head
8686,Female Head
8687,Female Head
6466,Female Head
6465,Female Head
6464,Female Head
6463,Female Head
10993,Female Head
8688,Female Head
6457,Female Head
6456,Female Head
10984,Female Head
10981,Female Head
8684,Female Head
10970,Female Head
2900,Female Head
6441,Female Head
10963,Female Head
10962,Female Head
6440,Female Head
14818,Female Head
6439,Female Head
20430,Female Head
20429,Female Head
18011,Female Head
18013,Female Head
6431,Female Head
6430,Female Head
6442,Female Head
11122,Female Head
6472,Female Head
2859,Female Head
14759,Female Head
14760,Female Head
2826,Female Head
11032,Female Head
11031,Female Head
11030,Female Head
11029,Female Head
11028,Female Head
2833,Female Head
6483,Female Head
2836,Female Head
6482,Female Head
8680,Female Head
2860,Female Head
8681,Female Head
6478,Female Head
6477,Female Head
17982,Female Head
11016,Female Head
14775,Female Head
11014,Female Head
14776,Female Head
14777,Female Head
14778,Female Head
11009,Female Head
8682,Female Head
8683,Female Head
2858,Female Head
6479,Female Head
20603,Female Head
14700,Female Head
14699,Female Head
20734,Female Head
11247,Female Head
11246,Female Head
11245,Female Head
11244,Female Head
11243,Female Head
11242,Female Head
11241,Female Head
11240,Female Head
11239,Female Head
11238,Female Head
2593,Female Head
20722,Female Head
11248,Female Head
17907,Female Head
14603,Female Head
14604,Female Head
14605,Female Head
14606,Female Head
14607,Female Head
11226,Female Head
20709,Female Head
8615,Female Head
6608,Female Head
6607,Female Head
6606,Female Head
6605,Female Head
6603,Female Head
14602,Female Head
6602,Female Head
6617,Female Head
6619,Female Head
6674,Female Head
11316,Female Head
11315,Female Head
20801,Female Head
